date,favorites,id,isRetweet,retweets,text
26/02/2020 08:49,0,1232558407502060000,TRUE,6110,RT @LouDobbs: #LDTPoll Should Congress refuse to re-authorize the FISA courts until the American people can be assured we will never see a…
26/02/2020 08:49,0,1232558272038570000,TRUE,4176,RT @LouDobbs: Controlling the Pandemic: Dr. Anthony Fauci says travel restrictions from China puts America a step ahead of Coronavirus outb…
26/02/2020 08:49,26177,1232558211103770000,FALSE,6077,Russia wants him to win! https://t.co/bNUeIsqmQX
26/02/2020 08:47,33501,1232557903187360000,FALSE,10008,An absolute disgrace! https://t.co/xwmsyitlMh
26/02/2020 08:46,0,1232557481034820000,TRUE,3936,RT @LouDobbs: Constraining the Pandemic: @SecAzar praises @POTUS’ historically aggressive efforts to control the coronavirus in the U.S. #A…
26/02/2020 08:45,0,1232557197067870000,TRUE,5184,RT @LouDobbs: Protecting Liberty: @Jim_Jordan says we have the opportunity to make fundamental changes and defend basic freedoms by holding…
26/02/2020 05:14,0,1232504131320820000,TRUE,25288,"RT @WhiteHouse: THANK YOU, India! <U+0001F1FA><U+0001F1F8><U+0001F1EE><U+0001F1F3> https://t.co/IkGtp0zpyj"
26/02/2020 04:34,129754,1232494118137290000,FALSE,23217,52% in the new Rasmussen Poll. 95% Approval Rating in the Republican Party. Thank you!
26/02/2020 04:29,62527,1232492832897650000,FALSE,14598,"....Democrats talking point is that we are doing badly. If the virus disappeared tomorrow, they would say we did a really poor, and even incompetent, job. Not fair, but it is what it is. So far, by the way, we have not had one death. Let’s keep it that way!"
26/02/2020 04:29,100947,1232492821501770000,FALSE,22920,"CDC and my Administration are doing a GREAT job of handling Coronavirus, including the very early closing of our borders to certain areas of the world. It was opposed by the Dems, “too soon”, but turned out to be the correct decision. No matter how well we do, however, the....."
26/02/2020 00:37,0,1232434360806060000,TRUE,4849,"RT @johnnydollar01: Fox News Dominates Basic Cable for 44 Consecutive Months, Crushes Cable News 218 Straight Months
FNC Finishes Month as…"
26/02/2020 00:36,48405,1232434103229640000,FALSE,11771,That is because they cover your favorite President relatively well. @CNN &amp; MSDNC are dying in the ratings! https://t.co/dhlZlbyg2N
26/02/2020 00:00,47906,1232425065058160000,FALSE,11287,No surprise! https://t.co/qCcUPsXgG9
25/02/2020 23:56,0,1232424174561430000,TRUE,45030,RT @GOPLeader: Acquitted for life. https://t.co/HgqBXwpoWK
